NazRudy ; 380665456478
#Пустой ;39-39
#Пустой ;39-40
#Пустой ;39-41
#Пустой ;39-42
#Машинист котельной ;39-43
#УПР №1 механик Король Павел Владимирович ;кор.шлюз-69
#УПР №2 зам.начальника Гладчук Николай Александрович ;кор.шлюз-37
#Заместитель начальника УКТ Савицкий Иван Иванович ;кор.шлюз-38
#Горнотехнический инспектор Черный Юрий Валерьевич ;кор.шлюз-39
#РЗО Соловей Василий Владимирович ;кор.шлюз-72
#Заместитель главного энергетика Сотников Роман Вадимович ;кор.шлюз-56
#ТБ Антонюк Евгений Петрович ;кор.шлюз-10
#Горный диспетчер ;333
#Горный диспетчер ;555
#Бюро ремонта, кросс ;08
#Коммутатор ;07
#Коммутатор ш. Южнодонбасская №1 ;6-40-08, 66-1-01, 4-1-01
#Выход на Угледарскую АТС ;9-6-XX-XX
#Выход на ш. им. Сургая из г.Угледар ;66-X-XX
#Выход в г.Угледар по межгороду ;06-273-6-XX-XX
#Индексы мобильного оператора Киевстар ;067, 096, 097, 098, 068, 039
#Индексы мобильного оператора Vodafone ;050 ... 066 ... 099 ... 095
#Индексы мобильного оператора Лайф ;063 093 073
#Индекс мобильного оператора Utel ;091
#Индекс мобильного оператора PEOPLEnet ;092
#Индекс мобильного оператора Интетелеком ;094
#Индекс компьютерного номера ;089
#Индексы виртуальных номеров ;070, 080, 090
#Здравствуйте!
Для использования справочника нажмите кнопку с микрофоном и 
ПОСЛЕ СИГНАЛА
 произнесите номер телефона или его местонаходение или 
участок или службу. ; 
# ;Не смей обзываться!!!
# ;Это невозможно!
