NazRudy ; 380665456478 
#гараж гаражи дежурный водитель комната водителей котельной ;3338 
#гараж гаражи заправка ;3419 
#гараж гаражи охрана гаража сторож ;3441 
#столовая заведующий заведующая столовой Манько Алла Витальевна ;3323 
#столовая бухгалтерия столовой ;3455 
#столовая кухня ;3555 
#столовая киоск буфет buffet ларек ларёк в ОПК АПК APK ;3451 
#столовая киоск буфет buffet ларек ларёк в новом ОПК АПК аптека ;3499 
#АПК APK мастер Master мокрая мокрое Ирина Петровна ;3502 
#АПК APK механик аносов Александр Васильевич слесарь слесаря ;3481 
#АПК APK электрослесарь по кранам краном ;3122 
#АПК APK участок шахтной поверхности Гончаров Владимир Леонидович кровельщики ;3356 
#АПК APK кайбаш уборщиц уборщица уборщицы ;3484 
#баня бани директора ;3593 
#баня бани ИТР итер и TR ;3541 
#баня бани комната отдыха ;3430 
#баня бани женская ;3412 
#баня бани второго этажа этаж 2 второй ;3453 
#баня бани третьего этажа этаж 3 третий ;3420 
#баня бани прачечная прачка швея портниха ремонт одежды стирка stirka ;3590 
#баня бани прием приём белья в стирку бельё ;3479 
#Лесной склад общий телефон общей общие комната отдыха ;3439 
#Лесной склад начальник лесного склада Лесной склад жук Людмила Викторовна ;3578 короткий 47 
#Лесной склад мастер лесного склада ;3545 
#строит строить всех общий телефон начальник Синицына Светлана Евгеньевна ;3389 короткий 55 
#строит строить всех плотницкий плотницкие цех цэх ;3601 
#Производственная служба зам заместитель главного инженера по капитальному строительству капстроительства капстроительство капстроительству Новиков Максим Дмитриевич ;3350 короткий 42 
#Производственная служба зам заместитель главного инженера по производству шураков Игорь Владимирович ;3316 короткий 79 
#Производственная служба руководство Шахты зам заместитель директора по производству буряк Марк Александрович ;3501 короткий 44 
#Производственная служба производственный отдел ;3335 
#Производственная служба старший инспектор по производственной дисциплине дисциплины нудьга Ирина Владимировна ;3315 
#Производственная служба горный горные диспетчер ;три пятёрки 3 пятёрки тройки 3306 3728 короткий 30 
#Производственная служба горный горные диспетчер аварийный ;3933 
#Производственная служба техническая нарядная техническое Техническая стих тихо техно рядная ;3515
#Производственная служба начальник начальника смены комната отдыха ;3549 
#служба главного технолога техотдел тех отдел главный технолог ;3442 
#служба главного технолога техотдел тех отдел главный технолог жевлаков Владимир Сергеевич ;3395 короткий 64 
#служба главного технолога техотдел тех отдел общий телефон ;3538 
#служба главного технолога техотдел тех отдел инженер по рационализации рационализацию ;3516 
#служба главного технолога техотдел тех отдел инженер по экологии ганус Сергей Сергеевич ganus ;3435 
#участок служба связь начальник связи начальника связью топало тупало топалова Александр Николаевич ;3325 короткий 05 
